sample,cell_type,condition
Series1_NHBE_Mock_1,NHBE,Mock
Series1_NHBE_Mock_2,NHBE,Mock
Series1_NHBE_Mock_3,NHBE,Mock
Series1_NHBE_SARS-CoV-2_1,NHBE,SARS_CoV_2
Series1_NHBE_SARS-CoV-2_2,NHBE,SARS_CoV_2
Series1_NHBE_SARS-CoV-2_3,NHBE,SARS_CoV_2
Series2_A549_Mock_1,A549,Mock
Series2_A549_Mock_2,A549,Mock
Series2_A549_Mock_3,A549,Mock
Series2_A549_SARS-CoV-2_1,A549,SARS_CoV_2
Series2_A549_SARS-CoV-2_2,A549,SARS_CoV_2
Series2_A549_SARS-CoV-2_3,A549,SARS_CoV_2
Series5_A549_Mock_1,A549,Mock
Series5_A549_Mock_2,A549,Mock
Series5_A549_Mock_3,A549,Mock
Series5_A549_SARS-CoV-2_1,A549,SARS_CoV_2
Series5_A549_SARS-CoV-2_2,A549,SARS_CoV_2
Series5_A549_SARS-CoV-2_3,A549,SARS_CoV_2
Series7_Calu3_Mock_1,Calu3,Mock
Series7_Calu3_Mock_2,Calu3,Mock
Series7_Calu3_Mock_3,Calu3,Mock
Series7_Calu3_SARS-CoV-2_1,Calu3,SARS_CoV_2
Series7_Calu3_SARS-CoV-2_2,Calu3,SARS_CoV_2
Series7_Calu3_SARS-CoV-2_3,Calu3,SARS_CoV_2
